current_path,function_name,intended_path,intended_function,leading_verb,naming_status,callers,matching_tests,nested_helpers,nested_helper_disposition,owning_issue,migration_status
R/Functions/Modelling/Cross_validation/build_sjsdm_tier_tuning_artifact.R,build_sjsdm_tier_tuning_artifact,R/Functions/Modelling/Cross_validation/build_sjsdm_tier_tuning_artifact.R,build_sjsdm_tier_tuning_artifact,build,canonical_or_domain_verb,R/03_Supplementary_analyses/Testing/testthat/test-build_sjsdm_tier_tuning_artifact.R;R/Functions/Modelling/Cross_validation/build_sjsdm_tier_tuning_artifact.R;R/Functions/Modelling/Cross_validation/build_sjsdm_tier_tuning_artifacts.R;R/Functions/Modelling/Cross_validation/resolve_sjsdm_regularization_for_fit.R,R/03_Supplementary_analyses/Testing/testthat/test-build_sjsdm_tier_tuning_artifact.R,,none,#141,baseline_recorded
R/Functions/Modelling/Cross_validation/build_sjsdm_tier_tuning_artifacts.R,build_sjsdm_tier_tuning_artifacts,R/Functions/Modelling/Cross_validation/build_sjsdm_tier_tuning_artifacts.R,build_sjsdm_tier_tuning_artifacts,build,canonical_or_domain_verb,R/03_Supplementary_analyses/Testing/testthat/test-build_sjsdm_tier_tuning_artifacts.R;R/Functions/Modelling/Cross_validation/build_sjsdm_tier_tuning_artifacts.R;R/Pipelines/pipeline_sjsdm_tier_tuning.R,R/03_Supplementary_analyses/Testing/testthat/test-build_sjsdm_tier_tuning_artifacts.R,,none,#141,baseline_recorded
R/Functions/Modelling/Cross_validation/build_sjsdm_tuning_schedule.R,build_sjsdm_tuning_schedule,R/Functions/Modelling/Cross_validation/build_sjsdm_tuning_schedule.R,build_sjsdm_tuning_schedule,build,canonical_or_domain_verb,R/03_Supplementary_analyses/Testing/testthat/test-build_sjsdm_cumulative_tuning_work_items.R;R/03_Supplementary_analyses/Testing/testthat/test-build_sjsdm_tier_survivor_artifacts.R;R/03_Supplementary_analyses/Testing/testthat/test-build_sjsdm_tuning_schedule.R;R/03_Supplementary_analyses/Testing/testthat/test-select_sjsdm_tuning_round_work_items.R;R/03_Supplementary_analyses/Testing/testthat/test-summarise_sjsdm_tuning_execution.R;R/Functions/Modelling/Cross_validation/build_sjsdm_cumulative_tuning_work_items.R;R/Functions/Modelling/Cross_validation/build_sjsdm_tier_survivor_artifacts.R;R/Functions/Modelling/Cross_validation/build_sjsdm_tuning_schedule.R;R/Functions/Modelling/Cross_validation/select_sjsdm_tuning_round_work_items.R;R/Functions/Modelling/Cross_validation/summarise_sjsdm_tuning_execution.R;R/Functions/Modelling/Cross_validation/validate_sjsdm_tuning_repeat_coverage.R;R/Pipelines/_pipes/pipe_segment_model_cross_validation.R;R/Pipelines/_pipes/pipe_segment_model_cross_validation_from_shared.R;R/Pipelines/pipeline_sjsdm_tier_tuning.R,R/03_Supplementary_analyses/Testing/testthat/test-build_sjsdm_cumulative_tuning_work_items.R;R/03_Supplementary_analyses/Testing/testthat/test-build_sjsdm_tier_survivor_artifacts.R;R/03_Supplementary_analyses/Testing/testthat/test-build_sjsdm_tuning_schedule.R;R/03_Supplementary_analyses/Testing/testthat/test-select_sjsdm_tuning_round_work_items.R;R/03_Supplementary_analyses/Testing/testthat/test-summarise_sjsdm_tuning_execution.R,,none,#141,baseline_recorded
R/Functions/Modelling/Cross_validation/build_sjsdm_tuning_work_items.R,build_sjsdm_tuning_work_items,R/Functions/Modelling/Cross_validation/build_sjsdm_tuning_work_items.R,build_sjsdm_tuning_work_items,build,canonical_or_domain_verb,R/03_Supplementary_analyses/Testing/testthat/test-build_sjsdm_tuning_work_items.R;R/03_Supplementary_analyses/Testing/testthat/test-cross_validation_prediction_cache_pipeline_contract.R;R/03_Supplementary_analyses/Testing/testthat/test-make_sjsdm_tuning_branch_work_items.R;R/03_Supplementary_analyses/Testing/testthat/test-run_sjsdm_tuning_work_item.R;R/Functions/Modelling/Cross_validation/build_sjsdm_cumulative_tuning_work_items.R;R/Functions/Modelling/Cross_validation/make_sjsdm_tuning_branch_work_items.R;R/Functions/Modelling/Cross_validation/select_sjsdm_tuning_round_work_items.R;R/Functions/Modelling/Cross_validation/summarise_sjsdm_tuning_execution.R;R/Functions/Modelling/Cross_validation/validate_sjsdm_tuning_repeat_coverage.R;R/Pipelines/_pipes/pipe_segment_model_cross_validation.R;R/Pipelines/_pipes/pipe_segment_model_cross_validation_from_shared.R,R/03_Supplementary_analyses/Testing/testthat/test-build_sjsdm_tuning_work_items.R;R/03_Supplementary_analyses/Testing/testthat/test-cross_validation_prediction_cache_pipeline_contract.R;R/03_Supplementary_analyses/Testing/testthat/test-make_sjsdm_tuning_branch_work_items.R;R/03_Supplementary_analyses/Testing/testthat/test-run_sjsdm_tuning_work_item.R,,none,#141,baseline_recorded
R/Functions/Modelling/Cross_validation/calibrate_cross_validation_grid_from_resolution.R,calibrate_cross_validation_grid_from_resolution,R/Functions/Modelling/Cross_validation/calibrate_cross_validation_grid_from_resolution.R,calibrate_cross_validation_grid_from_resolution,calibrate,review_in_owning_issue,R/03_Supplementary_analyses/Testing/testthat/test-calibrate_cross_validation_grid_from_resolution.R;R/Functions/Modelling/Cross_validation/calibrate_cross_validation_grid_from_resolution.R;R/Functions/Modelling/Cross_validation/make_cross_validation_assignments_from_resolution.R;R/Functions/Modelling/Cross_validation/make_cross_validation_branch_assignments.R;R/Pipelines/_pipes/pipe_segment_model_cross_validation.R;R/Pipelines/_pipes/pipe_segment_model_cross_validation_shared.R;R/Pipelines/pipeline_paleo_local_cv_scientific_reference.R,R/03_Supplementary_analyses/Testing/testthat/test-calibrate_cross_validation_grid_from_resolution.R,,none,#141,baseline_recorded
R/Functions/Modelling/Cross_validation/calibrate_cross_validation_grid_size.R,calibrate_cross_validation_grid_size,R/Functions/Modelling/Cross_validation/calibrate_cross_validation_grid_size.R,calibrate_cross_validation_grid_size,calibrate,review_in_owning_issue,R/03_Supplementary_analyses/Testing/testthat/test-calibrate_cross_validation_grid_size.R;R/Functions/Modelling/Cross_validation/calibrate_cross_validation_grid_from_resolution.R;R/Functions/Modelling/Cross_validation/calibrate_cross_validation_grid_size.R,R/03_Supplementary_analyses/Testing/testthat/test-calibrate_cross_validation_grid_size.R,,none,#141,baseline_recorded
R/Functions/Modelling/Cross_validation/collect_sjsdm_available_tier_decisions.R,collect_sjsdm_available_tier_decisions,R/Functions/Modelling/Cross_validation/collect_sjsdm_available_tier_decisions.R,collect_sjsdm_available_tier_decisions,collect,review_in_owning_issue,R/03_Supplementary_analyses/Testing/testthat/test-collect_sjsdm_available_tier_decisions.R;R/03_Supplementary_analyses/Testing/testthat/test-cross_validation_prediction_cache_pipeline_contract.R;R/Pipelines/_pipes/pipe_segment_model_cross_validation.R;R/Pipelines/_pipes/pipe_segment_model_cross_validation_from_shared.R,R/03_Supplementary_analyses/Testing/testthat/test-collect_sjsdm_available_tier_decisions.R;R/03_Supplementary_analyses/Testing/testthat/test-cross_validation_prediction_cache_pipeline_contract.R,,none,#141,baseline_recorded
R/Functions/Modelling/Cross_validation/collect_sjsdm_tuning_summaries.R,collect_sjsdm_tuning_summaries,R/Functions/Modelling/Cross_validation/collect_sjsdm_tuning_summaries.R,collect_sjsdm_tuning_summaries,collect,review_in_owning_issue,R/03_Supplementary_analyses/Testing/testthat/test-collect_sjsdm_tuning_summaries.R;R/Functions/Modelling/Cross_validation/collect_sjsdm_tuning_summaries.R;R/Pipelines/pipeline_sjsdm_common_regularization_sensitivity.R;R/Pipelines/pipeline_sjsdm_tier_tuning.R,R/03_Supplementary_analyses/Testing/testthat/test-collect_sjsdm_tuning_summaries.R,,none,#141,baseline_recorded
R/Functions/Modelling/Cross_validation/collect_sjsdm_tuning_timings.R,collect_sjsdm_tuning_timings,R/Functions/Modelling/Cross_validation/collect_sjsdm_tuning_timings.R,collect_sjsdm_tuning_timings,collect,review_in_owning_issue,R/03_Supplementary_analyses/Testing/testthat/test-collect_sjsdm_tuning_timings.R;R/Functions/Modelling/Cross_validation/collect_sjsdm_tuning_timings.R;R/Pipelines/_pipes/pipe_segment_model_cross_validation.R;R/Pipelines/_pipes/pipe_segment_model_cross_validation_from_shared.R,R/03_Supplementary_analyses/Testing/testthat/test-collect_sjsdm_tuning_timings.R,,none,#141,baseline_recorded
R/Functions/Modelling/Cross_validation/combine_sjsdm_tuning_work_items.R,combine_sjsdm_tuning_work_items,R/Functions/Modelling/Cross_validation/combine_sjsdm_tuning_work_items.R,combine_sjsdm_tuning_work_items,combine,review_in_owning_issue,R/03_Supplementary_analyses/Testing/testthat/test-run_sjsdm_tuning_work_item.R;R/Functions/Modelling/Cross_validation/run_sjsdm_tuning_work_item.R;R/Pipelines/_pipes/pipe_segment_model_cross_validation.R;R/Pipelines/_pipes/pipe_segment_model_cross_validation_from_shared.R,R/03_Supplementary_analyses/Testing/testthat/test-run_sjsdm_tuning_work_item.R,,none,#141,baseline_recorded
R/Functions/Modelling/Cross_validation/compare_sjsdm_decomposition_fold_metrics.R,compare_sjsdm_decomposition_fold_metrics,R/Functions/Modelling/Cross_validation/compare_sjsdm_decomposition_fold_metrics.R,compare_sjsdm_decomposition_fold_metrics,compare,review_in_owning_issue,R/03_Supplementary_analyses/Testing/testthat/test-compare_sjsdm_decomposition_fold_metrics.R;R/Functions/Modelling/Cross_validation/compare_sjsdm_decomposition_fold_metrics.R;R/Functions/Modelling/Cross_validation/summarise_sjsdm_decomposition_effects.R;R/Pipelines/pipeline_paleo_local_cv_decomposition_reference.R,R/03_Supplementary_analyses/Testing/testthat/test-compare_sjsdm_decomposition_fold_metrics.R,,none,#141,baseline_recorded
R/Functions/Modelling/Cross_validation/compute_sjsdm_decomposition_loss_shares.R,compute_sjsdm_decomposition_loss_shares,R/Functions/Modelling/Cross_validation/compute_sjsdm_decomposition_loss_shares.R,compute_sjsdm_decomposition_loss_shares,compute,canonical_or_domain_verb,R/03_Supplementary_analyses/Testing/testthat/test-compute_sjsdm_decomposition_loss_shares.R;R/Functions/Modelling/Cross_validation/compute_sjsdm_decomposition_loss_shares.R;R/Pipelines/pipeline_paleo_local_cv_decomposition_reference.R,R/03_Supplementary_analyses/Testing/testthat/test-compute_sjsdm_decomposition_loss_shares.R,,none,#141,baseline_recorded
R/Functions/Modelling/Cross_validation/configure_sjsdm_predictor_structure.R,configure_sjsdm_predictor_structure,R/Functions/Modelling/Cross_validation/configure_sjsdm_predictor_structure.R,configure_sjsdm_predictor_structure,configure,review_in_owning_issue,R/03_Supplementary_analyses/Testing/testthat/test-configure_sjsdm_predictor_structure.R;R/Functions/Modelling/Cross_validation/configure_sjsdm_predictor_structure.R;R/Functions/Modelling/Cross_validation/run_sjsdm_predictor_structure_folds.R,R/03_Supplementary_analyses/Testing/testthat/test-configure_sjsdm_predictor_structure.R,,none,#141,baseline_recorded
R/Functions/Modelling/Cross_validation/evaluate_sjsdm_cross_validated_predictions.R,evaluate_sjsdm_cross_validated_predictions,R/Functions/Modelling/Cross_validation/evaluate_sjsdm_cross_validated_predictions.R,evaluate_sjsdm_cross_validated_predictions,evaluate,canonical_or_domain_verb,R/03_Supplementary_analyses/Testing/testthat/test-evaluate_sjsdm_cross_validated_predictions.R;R/Functions/Modelling/Cross_validation/evaluate_sjsdm_cross_validated_predictions.R;R/Functions/Modelling/Cross_validation/evaluate_sjsdm_fold_predictions.R;R/Pipelines/_pipes/pipe_segment_model_cross_validation.R;R/Pipelines/_pipes/pipe_segment_model_cross_validation_from_shared.R,R/03_Supplementary_analyses/Testing/testthat/test-evaluate_sjsdm_cross_validated_predictions.R,,none,#141,baseline_recorded
R/Functions/Modelling/Cross_validation/evaluate_sjsdm_fold_predictions.R,evaluate_sjsdm_fold_predictions,R/Functions/Modelling/Cross_validation/evaluate_sjsdm_fold_predictions.R,evaluate_sjsdm_fold_predictions,evaluate,canonical_or_domain_verb,R/03_Supplementary_analyses/Testing/testthat/test-evaluate_sjsdm_fold_predictions.R;R/Functions/Modelling/Cross_validation/assess_sjsdm_taxon_eligibility.R;R/Functions/Modelling/Cross_validation/evaluate_sjsdm_fold_predictions.R;R/Functions/Modelling/Cross_validation/summarise_sjsdm_fold_metrics.R;R/Functions/Modelling/Cross_validation/summarise_spatial_mev_benchmark_predictions.R;R/Pipelines/_pipes/pipe_segment_model_cross_validation.R;R/Pipelines/_pipes/pipe_segment_model_cross_validation_from_shared.R;R/Pipelines/pipeline_cz_paleo_cv_component_reference.R;R/Pipelines/pipeline_cz_paleo_cv_regularization_reference.R;R/Pipelines/pipeline_paleo_local_cv_decomposition_reference.R;R/Pipelines/pipeline_paleo_local_cv_scientific_reference.R,R/03_Supplementary_analyses/Testing/testthat/test-evaluate_sjsdm_fold_predictions.R,evaluate_source,review_in_owning_issue,#141,baseline_recorded
R/Functions/Modelling/Cross_validation/fit_sjsdm_regularization_candidate.R,fit_sjsdm_regularization_candidate,R/Functions/Modelling/Cross_validation/fit_sjsdm_regularization_candidate.R,fit_sjsdm_regularization_candidate,fit,canonical_or_domain_verb,R/03_Supplementary_analyses/Testing/testthat/test-fit_sjsdm_regularization_candidate.R;R/Functions/Modelling/Cross_validation/run_sjsdm_predictor_structure_folds.R;R/Functions/Modelling/Cross_validation/run_spatial_mev_paired_cv_fixture.R;R/Pipelines/_pipes/pipe_segment_model_cross_validation.R;R/Pipelines/_pipes/pipe_segment_model_cross_validation_from_shared.R;R/Pipelines/pipeline_cz_paleo_cv_regularization_reference.R,R/03_Supplementary_analyses/Testing/testthat/test-fit_sjsdm_regularization_candidate.R,,none,#141,baseline_recorded
R/Functions/Modelling/Cross_validation/get_sjsdm_staged_benchmark_policy.R,get_sjsdm_staged_benchmark_policy,R/Functions/Modelling/Cross_validation/get_sjsdm_staged_benchmark_policy.R,get_sjsdm_staged_benchmark_policy,get,review_in_owning_issue,R/03_Supplementary_analyses/Testing/testthat/test-assess_sjsdm_staged_benchmark.R;R/03_Supplementary_analyses/Testing/testthat/test-get_sjsdm_staged_benchmark_policy.R;R/Functions/Modelling/Cross_validation/assess_sjsdm_staged_benchmark.R;R/Functions/Modelling/Cross_validation/assess_spatial_mev_paired_benchmark.R,R/03_Supplementary_analyses/Testing/testthat/test-assess_sjsdm_staged_benchmark.R;R/03_Supplementary_analyses/Testing/testthat/test-get_sjsdm_staged_benchmark_policy.R,,none,#141,baseline_recorded
R/Functions/Modelling/Cross_validation/has_sjsdm_tuning_evidence.R,has_sjsdm_tuning_evidence,R/Functions/Modelling/Cross_validation/has_sjsdm_tuning_evidence.R,has_sjsdm_tuning_evidence,has,canonical_or_domain_verb,R/03_Supplementary_analyses/Testing/testthat/test-has_sjsdm_tuning_evidence.R;R/Functions/Modelling/Cross_validation/has_sjsdm_tuning_evidence.R;R/Functions/Modelling/Cross_validation/run_sjsdm_tuning_sequence.R,R/03_Supplementary_analyses/Testing/testthat/test-has_sjsdm_tuning_evidence.R,,none,#141,baseline_recorded
R/Functions/Modelling/Cross_validation/make_cross_validation_assignments_from_resolution.R,make_cross_validation_assignments_from_resolution,R/Functions/Modelling/Cross_validation/make_cross_validation_assignments_from_resolution.R,make_cross_validation_assignments_from_resolution,make,review_in_owning_issue,R/03_Supplementary_analyses/Testing/testthat/test-make_cross_validation_assignments_from_resolution.R;R/Functions/Modelling/Cross_validation/make_cross_validation_assignments_from_resolution.R;R/Functions/Modelling/Cross_validation/make_cross_validation_branch_assignments.R;R/Pipelines/_pipes/pipe_segment_model_cross_validation.R;R/Pipelines/_pipes/pipe_segment_model_cross_validation_shared.R;R/Pipelines/pipeline_paleo_local_cv_scientific_reference.R,R/03_Supplementary_analyses/Testing/testthat/test-make_cross_validation_assignments_from_resolution.R,,none,#141,baseline_recorded
R/Functions/Modelling/Cross_validation/make_cross_validation_branch_assignments.R,make_cross_validation_branch_assignments,R/Functions/Modelling/Cross_validation/make_cross_validation_branch_assignments.R,make_cross_validation_branch_assignments,make,review_in_owning_issue,R/03_Supplementary_analyses/Testing/testthat/test-make_cross_validation_branch_assignments.R;R/Functions/Modelling/Cross_validation/make_cross_validation_branch_assignments.R;R/Pipelines/_pipes/pipe_segment_model_cross_validation_from_shared.R,R/03_Supplementary_analyses/Testing/testthat/test-make_cross_validation_branch_assignments.R,,none,#141,baseline_recorded
R/Functions/Modelling/Cross_validation/make_cross_validation_grid_candidates.R,make_cross_validation_grid_candidates,R/Functions/Modelling/Cross_validation/make_cross_validation_grid_candidates.R,make_cross_validation_grid_candidates,make,review_in_owning_issue,R/03_Supplementary_analyses/Testing/testthat/test-make_cross_validation_grid_candidates.R;R/Functions/Modelling/Cross_validation/make_cross_validation_grid_candidates.R;R/Functions/Modelling/Cross_validation/make_cross_validation_grid_candidates_from_resolution.R,R/03_Supplementary_analyses/Testing/testthat/test-make_cross_validation_grid_candidates.R,,none,#141,baseline_recorded
R/Functions/Modelling/Cross_validation/make_cross_validation_grid_candidates_from_resolution.R,make_cross_validation_grid_candidates_from_resolution,R/Functions/Modelling/Cross_validation/make_cross_validation_grid_candidates_from_resolution.R,make_cross_validation_grid_candidates_from_resolution,make,review_in_owning_issue,R/03_Supplementary_analyses/Testing/testthat/test-make_cross_validation_grid_candidates_from_resolution.R;R/Functions/Modelling/Cross_validation/make_cross_validation_branch_assignments.R;R/Functions/Modelling/Cross_validation/make_cross_validation_grid_candidates_from_resolution.R;R/Pipelines/_pipes/pipe_segment_model_cross_validation.R;R/Pipelines/_pipes/pipe_segment_model_cross_validation_shared.R;R/Pipelines/pipeline_paleo_local_cv_scientific_reference.R,R/03_Supplementary_analyses/Testing/testthat/test-make_cross_validation_grid_candidates_from_resolution.R,,none,#141,baseline_recorded
R/Functions/Modelling/Cross_validation/make_cross_validation_location_table.R,make_cross_validation_location_table,R/Functions/Modelling/Cross_validation/make_cross_validation_location_table.R,make_cross_validation_location_table,make,review_in_owning_issue,R/03_Supplementary_analyses/Testing/testthat/test-make_cross_validation_location_table.R;R/Functions/Modelling/Cross_validation/adapt_cross_validation_assignments.R;R/Functions/Modelling/Cross_validation/calibrate_cross_validation_grid_from_resolution.R;R/Functions/Modelling/Cross_validation/calibrate_cross_validation_grid_size.R;R/Functions/Modelling/Cross_validation/make_cross_validation_assignments_from_resolution.R;R/Functions/Modelling/Cross_validation/make_cross_validation_branch_assignments.R;R/Functions/Modelling/Cross_validation/make_cross_validation_grid_candidates.R;R/Functions/Modelling/Cross_validation/make_cross_validation_grid_candidates_from_resolution.R;R/Functions/Modelling/Cross_validation/make_cross_validation_location_table.R;R/Functions/Modelling/Cross_validation/make_cross_validation_partition_diagnostics.R;R/Functions/Modelling/Cross_validation/make_leave_one_location_out_assignments.R;R/Functions/Modelling/Cross_validation/make_spatial_cross_validation_assignments.R;R/Pipelines/_pipes/pipe_segment_model_cross_validation.R;R/Pipelines/_pipes/pipe_segment_model_cross_validation_from_shared.R;R/Pipelines/_pipes/pipe_segment_model_cross_validation_shared.R;R/Pipelines/pipeline_paleo_local_cv_scientific_reference.R,R/03_Supplementary_analyses/Testing/testthat/test-make_cross_validation_location_table.R,,none,#141,baseline_recorded
R/Functions/Modelling/Cross_validation/make_cross_validation_partition_diagnostics.R,make_cross_validation_partition_diagnostics,R/Functions/Modelling/Cross_validation/make_cross_validation_partition_diagnostics.R,make_cross_validation_partition_diagnostics,make,review_in_owning_issue,R/03_Supplementary_analyses/Testing/testthat/test-make_cross_validation_partition_diagnostics.R;R/Functions/Modelling/Cross_validation/adapt_cross_validation_assignments.R;R/Functions/Modelling/Cross_validation/make_cross_validation_partition_diagnostics.R;R/Pipelines/_pipes/pipe_segment_model_cross_validation.R;R/Pipelines/_pipes/pipe_segment_model_cross_validation_from_shared.R;R/Pipelines/pipeline_paleo_local_cv_scientific_reference.R,R/03_Supplementary_analyses/Testing/testthat/test-make_cross_validation_partition_diagnostics.R,,none,#141,baseline_recorded
R/Functions/Modelling/Cross_validation/make_leave_one_location_out_assignments.R,make_leave_one_location_out_assignments,R/Functions/Modelling/Cross_validation/make_leave_one_location_out_assignments.R,make_leave_one_location_out_assignments,make,review_in_owning_issue,R/03_Supplementary_analyses/Testing/testthat/test-make_cross_validation_partition_diagnostics.R;R/03_Supplementary_analyses/Testing/testthat/test-make_leave_one_location_out_assignments.R;R/Functions/Modelling/Cross_validation/adapt_cross_validation_assignments.R;R/Functions/Modelling/Cross_validation/make_cross_validation_assignments_from_resolution.R;R/Functions/Modelling/Cross_validation/make_cross_validation_branch_assignments.R;R/Functions/Modelling/Cross_validation/make_cross_validation_partition_diagnostics.R;R/Functions/Modelling/Cross_validation/make_leave_one_location_out_assignments.R,R/03_Supplementary_analyses/Testing/testthat/test-make_cross_validation_partition_diagnostics.R;R/03_Supplementary_analyses/Testing/testthat/test-make_leave_one_location_out_assignments.R,,none,#141,baseline_recorded
R/Functions/Modelling/Cross_validation/make_sjsdm_empty_selected_fold_artifacts.R,make_sjsdm_empty_selected_fold_artifacts,R/Functions/Modelling/Cross_validation/make_sjsdm_empty_selected_fold_artifacts.R,make_sjsdm_empty_selected_fold_artifacts,make,review_in_owning_issue,R/03_Supplementary_analyses/Testing/testthat/test-cross_validation_prediction_cache_pipeline_contract.R;R/03_Supplementary_analyses/Testing/testthat/test-make_sjsdm_empty_selected_fold_artifacts.R;R/Functions/Modelling/Cross_validation/make_sjsdm_empty_selected_fold_artifacts.R;R/Pipelines/_pipes/pipe_segment_model_cross_validation.R;R/Pipelines/_pipes/pipe_segment_model_cross_validation_from_shared.R,R/03_Supplementary_analyses/Testing/testthat/test-cross_validation_prediction_cache_pipeline_contract.R;R/03_Supplementary_analyses/Testing/testthat/test-make_sjsdm_empty_selected_fold_artifacts.R,,none,#141,baseline_recorded
R/Functions/Modelling/Cross_validation/make_sjsdm_regularization_candidates.R,make_sjsdm_regularization_candidates,R/Functions/Modelling/Cross_validation/make_sjsdm_regularization_candidates.R,make_sjsdm_regularization_candidates,make,review_in_owning_issue,R/03_Supplementary_analyses/Testing/testthat/test-assemble_sjsdm_cached_selected_folds.R;R/03_Supplementary_analyses/Testing/testthat/test-build_sjsdm_tuning_work_items.R;R/03_Supplementary_analyses/Testing/testthat/test-cz_paleo_cv_reference.R;R/03_Supplementary_analyses/Testing/testthat/test-make_sjsdm_regularization_candidates.R;R/03_Supplementary_analyses/Testing/testthat/test-make_sjsdm_tuning_branch_work_items.R;R/03_Supplementary_analyses/Testing/testthat/test-run_sjsdm_tuning_candidates.R;R/03_Supplementary_analyses/Testing/testthat/test-run_sjsdm_tuning_fold_candidates.R;R/03_Supplementary_analyses/Testing/testthat/test-run_sjsdm_tuning_work_item.R;R/Functions/Modelling/Cross_validation/build_sjsdm_tuning_work_items.R;R/Functions/Modelling/Cross_validation/make_sjsdm_regularization_candidates.R;R/Functions/Modelling/Cross_validation/run_sjsdm_tuning_candidates.R;R/Functions/Modelling/Cross_validation/run_sjsdm_tuning_fold_candidates.R;R/Pipelines/_pipes/pipe_segment_model_cross_validation.R;R/Pipelines/_pipes/pipe_segment_model_cross_validation_from_shared.R;R/Pipelines/pipeline_paleo_local_cv_scientific_reference.R,R/03_Supplementary_analyses/Testing/testthat/test-assemble_sjsdm_cached_selected_folds.R;R/03_Supplementary_analyses/Testing/testthat/test-build_sjsdm_tuning_work_items.R;R/03_Supplementary_analyses/Testing/testthat/test-cz_paleo_cv_reference.R;R/03_Supplementary_analyses/Testing/testthat/test-make_sjsdm_regularization_candidates.R;R/03_Supplementary_analyses/Testing/testthat/test-make_sjsdm_tuning_branch_work_items.R;R/03_Supplementary_analyses/Testing/testthat/test-run_sjsdm_tuning_candidates.R;R/03_Supplementary_analyses/Testing/testthat/test-run_sjsdm_tuning_fold_candidates.R;R/03_Supplementary_analyses/Testing/testthat/test-run_sjsdm_tuning_work_item.R,,none,#141,baseline_recorded
R/Functions/Modelling/Cross_validation/make_sjsdm_structured_regularization_candidates.R,make_sjsdm_structured_regularization_candidates,R/Functions/Modelling/Cross_validation/make_sjsdm_structured_regularization_candidates.R,make_sjsdm_structured_regularization_candidates,make,review_in_owning_issue,R/03_Supplementary_analyses/Testing/testthat/test-make_sjsdm_structured_regularization_candidates.R;R/Functions/Modelling/Cross_validation/make_sjsdm_structured_regularization_candidates.R;R/Pipelines/pipeline_cz_paleo_cv_regularization_reference.R,R/03_Supplementary_analyses/Testing/testthat/test-make_sjsdm_structured_regularization_candidates.R,,none,#141,baseline_recorded
R/Functions/Modelling/Cross_validation/make_sjsdm_tuning_branch_work_items.R,make_sjsdm_tuning_branch_work_items,R/Functions/Modelling/Cross_validation/make_sjsdm_tuning_branch_work_items.R,make_sjsdm_tuning_branch_work_items,make,review_in_owning_issue,R/03_Supplementary_analyses/Testing/testthat/test-cross_validation_prediction_cache_pipeline_contract.R;R/03_Supplementary_analyses/Testing/testthat/test-make_sjsdm_tuning_branch_work_items.R;R/03_Supplementary_analyses/Testing/testthat/test-run_sjsdm_tuning_work_item.R;R/Functions/Modelling/Cross_validation/make_sjsdm_tuning_branch_work_items.R;R/Functions/Modelling/Cross_validation/run_sjsdm_tuning_work_item.R;R/Pipelines/_pipes/pipe_segment_model_cross_validation.R;R/Pipelines/_pipes/pipe_segment_model_cross_validation_from_shared.R,R/03_Supplementary_analyses/Testing/testthat/test-cross_validation_prediction_cache_pipeline_contract.R;R/03_Supplementary_analyses/Testing/testthat/test-make_sjsdm_tuning_branch_work_items.R;R/03_Supplementary_analyses/Testing/testthat/test-run_sjsdm_tuning_work_item.R,,none,#141,baseline_recorded
R/Functions/Modelling/Cross_validation/make_sjsdm_tuning_fold_context.R,make_sjsdm_tuning_fold_context,R/Functions/Modelling/Cross_validation/make_sjsdm_tuning_fold_context.R,make_sjsdm_tuning_fold_context,make,review_in_owning_issue,R/03_Supplementary_analyses/Testing/testthat/test-make_sjsdm_tuning_fold_context.R;R/Functions/Modelling/Cross_validation/prepare_sjsdm_tuning_folds.R;R/Functions/Modelling/Cross_validation/run_sjsdm_selected_candidate_folds.R;R/Functions/Modelling/Cross_validation/run_sjsdm_tuning_candidates.R;R/Functions/Modelling/Cross_validation/run_sjsdm_tuning_fold_candidates.R,R/03_Supplementary_analyses/Testing/testthat/test-make_sjsdm_tuning_fold_context.R,,none,#141,baseline_recorded
R/Functions/Modelling/Cross_validation/make_spatial_cross_validation_assignments.R,make_spatial_cross_validation_assignments,R/Functions/Modelling/Cross_validation/make_spatial_cross_validation_assignments.R,make_spatial_cross_validation_assignments,make,review_in_owning_issue,R/03_Supplementary_analyses/Testing/testthat/test-make_cross_validation_branch_assignments.R;R/03_Supplementary_analyses/Testing/testthat/test-make_spatial_cross_validation_assignments.R;R/Functions/Modelling/Cross_validation/calibrate_cross_validation_grid_size.R;R/Functions/Modelling/Cross_validation/make_cross_validation_assignments_from_resolution.R;R/Functions/Modelling/Cross_validation/make_spatial_cross_validation_assignments.R,R/03_Supplementary_analyses/Testing/testthat/test-make_cross_validation_branch_assignments.R;R/03_Supplementary_analyses/Testing/testthat/test-make_spatial_cross_validation_assignments.R,,none,#141,baseline_recorded
R/Functions/Modelling/Cross_validation/predict_sjsdm_probability_matrix.R,predict_sjsdm_probability_matrix,R/Functions/Modelling/Cross_validation/predict_sjsdm_probability_matrix.R,predict_sjsdm_probability_matrix,predict,canonical_or_domain_verb,R/03_Supplementary_analyses/Testing/testthat/test-predict_sjsdm_probability_matrix.R,R/03_Supplementary_analyses/Testing/testthat/test-predict_sjsdm_probability_matrix.R,,none,#141,baseline_recorded
